figure,method,metric,x_variable,points,x_min,x_max,value_min,value_max,linear_slope,linear_intercept,linear_r2,threshold,threshold_crossing_x,quality_note
Fig. 6,fixed_reference,PSNR,attenuation_beta_x1e2,8,0.892,3.47,23.3,37.8,-6.415065892751073,43.76947378345744,0.9247986049924862,30.0,1.8996551724137931,linear fit is a compact calibration summary; use exact/digitized curve rows for thresholds
Fig. 6,fixed_reference,SSIM,attenuation_beta_x1e2,8,0.892,3.47,0.97,0.985,-0.004614621582129884,0.989218922262152,0.5055911506734352,0.97,2.39,linear fit is a compact calibration summary; use exact/digitized curve rows for thresholds
Fig. 6,without_reference,PSNR,attenuation_beta_x1e2,8,0.892,3.47,6.2,16.2,-3.5046814245921096,16.654221950230784,0.7914296845902054,30.0,,linear fit is a compact calibration summary; use exact/digitized curve rows for thresholds
Fig. 6,without_reference,SSIM,attenuation_beta_x1e2,8,0.892,3.47,0.35,0.88,-0.20362209178798737,1.002741738911678,0.8788991499514748,0.97,,linear fit is a compact calibration summary; use exact/digitized curve rows for thresholds
Fig. 8,fixed_reference,PSNR,distance_mm,6,3.0,25.0,30.7,39.0,0.3270270270270264,32.031981981982014,0.7467732570742667,30.0,,linear fit is a compact calibration summary; use exact/digitized curve rows for thresholds
Fig. 8,fixed_reference,SSIM,distance_mm,6,3.0,25.0,0.99,0.996,0.0002378378378378052,0.9900747747747752,0.6788020452885226,0.99,3.0,linear fit is a compact calibration summary; use exact/digitized curve rows for thresholds
Fig. 8,without_reference,PSNR,distance_mm,6,3.0,25.0,8.9,16.3,0.32648648648648626,7.855675675675687,0.9728556380751744,30.0,,linear fit is a compact calibration summary; use exact/digitized curve rows for thresholds
Fig. 8,without_reference,SSIM,distance_mm,6,3.0,25.0,0.53,0.91,0.017054054054054062,0.5116306306306311,0.914023904992195,0.99,,linear fit is a compact calibration summary; use exact/digitized curve rows for thresholds
Fig. 9,fixed_reference,PSNR,distance_mm,3,3.0,20.0,33.16,40.98,0.45089041095890414,32.32353881278538,0.9621660078389107,30.0,,linear fit is a compact calibration summary; use exact/digitized curve rows for thresholds
Fig. 9,without_reference,PSNR,distance_mm,3,3.0,20.0,10.5,15.09,0.2636986301369863,10.065981735159815,0.947859550139793,30.0,,linear fit is a compact calibration summary; use exact/digitized curve rows for thresholds
