paper,figure,panel,experiment,sample,condition,method,metric,value,unit,extraction,source_path,note,approximate,uncertainty
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 6,a,USAF 1951 target through dynamic turbid water,USAF 1951,dynamic complex scattering,GI,CNR,0.098,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-6.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 6,b,USAF 1951 target through dynamic turbid water,USAF 1951,dynamic complex scattering,SCGI,CNR,4.04,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-6.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 6,c,USAF 1951 target through dynamic turbid water,USAF 1951,dynamic complex scattering,SCGI-UNN,CNR,7.93,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-6.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 6,d,USAF 1951 target through dynamic turbid water,USAF 1951,dynamic complex scattering,SCGI-URED,CNR,10.43,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-6.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,a/e/i,letter samples through dynamic turbid water,0,conventional GI remains approximately zero CNR,GI,CNR,0.0,a.u.,text_approximation,results\paper_figures\apl_pages\apl-7.png,Paper states CNR values remain approximately 0.,True,0.1
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,a/e/i,letter samples through dynamic turbid water,Eq,conventional GI remains approximately zero CNR,GI,CNR,0.0,a.u.,text_approximation,results\paper_figures\apl_pages\apl-7.png,Paper states CNR values remain approximately 0.,True,0.1
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,a/e/i,letter samples through dynamic turbid water,nd,conventional GI remains approximately zero CNR,GI,CNR,0.0,a.u.,text_approximation,results\paper_figures\apl_pages\apl-7.png,Paper states CNR values remain approximately 0.,True,0.1
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,b/f/j,letter samples through dynamic turbid water,0,dynamic complex scattering,SCGI,CNR,3.39,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-7.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,b/f/j,letter samples through dynamic turbid water,Eq,dynamic complex scattering,SCGI,CNR,3.54,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-7.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,b/f/j,letter samples through dynamic turbid water,nd,dynamic complex scattering,SCGI,CNR,3.83,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-7.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,c/g/k,letter samples through dynamic turbid water,0,dynamic complex scattering,SCGI-UNN,CNR,14.2,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-7.png,,False,
"Peng and Chen, Applied Physics Letters 2024 SCGI",Fig. 9,c/g/k,letter samples through dynamic turbid water,Eq,dynamic complex scattering,SCGI-UNN,CNR,12.12,a.u.,exact_text_from_pdf,results\paper_figures\apl_pages\apl-7.png,,False,
