basis,rho,object,argmin_W,n_fit_points,fit_rule,slope_log_err_vs_log_W
hadamard_paired,0.001,digit_0,8,2,segment_too_short,
hadamard_paired,0.001,digit_1,8,2,segment_too_short,
hadamard_paired,0.001,digit_2,4,1,segment_too_short,
hadamard_paired,0.001,digit_3,8,2,segment_too_short,
hadamard_paired,0.001,digit_4,8,2,segment_too_short,
hadamard_paired,0.001,letter_A,8,2,segment_too_short,
hadamard_paired,0.001,letter_L,8,2,segment_too_short,
hadamard_paired,0.001,natural_patch,4,1,segment_too_short,
hadamard_paired,0.001,ring,8,2,segment_too_short,
hadamard_paired,0.001,stripe,4,1,segment_too_short,
hadamard_paired,0.01,digit_0,8,2,segment_too_short,
hadamard_paired,0.01,digit_1,8,2,segment_too_short,
hadamard_paired,0.01,digit_2,4,1,segment_too_short,
hadamard_paired,0.01,digit_3,8,2,segment_too_short,
hadamard_paired,0.01,digit_4,8,2,segment_too_short,
hadamard_paired,0.01,letter_A,8,2,segment_too_short,
hadamard_paired,0.01,letter_L,8,2,segment_too_short,
hadamard_paired,0.01,natural_patch,4,1,segment_too_short,
hadamard_paired,0.01,ring,4,1,segment_too_short,
hadamard_paired,0.01,stripe,4,1,segment_too_short,
hadamard_random_paired,0.001,digit_0,16,3,inclusive_argmin,-0.6733328162778128
hadamard_random_paired,0.001,digit_1,16,3,inclusive_argmin,-0.6161182104420867
hadamard_random_paired,0.001,digit_2,16,3,inclusive_argmin,-0.5301472676789503
hadamard_random_paired,0.001,digit_3,16,3,inclusive_argmin,-0.6200589310547278
hadamard_random_paired,0.001,digit_4,16,3,inclusive_argmin,-0.6615254594936077
hadamard_random_paired,0.001,letter_A,16,3,inclusive_argmin,-0.6700041068652342
hadamard_random_paired,0.001,letter_L,32,3,strict_below_argmin,-0.7412395949957904
hadamard_random_paired,0.001,natural_patch,8,2,segment_too_short,
hadamard_random_paired,0.001,ring,16,3,inclusive_argmin,-0.5229769899426613
hadamard_random_paired,0.001,stripe,16,3,inclusive_argmin,-0.32240600794526236
hadamard_random_paired,0.01,digit_0,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_1,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_2,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_3,8,2,segment_too_short,
hadamard_random_paired,0.01,digit_4,8,2,segment_too_short,
hadamard_random_paired,0.01,letter_A,8,2,segment_too_short,
hadamard_random_paired,0.01,letter_L,16,3,inclusive_argmin,-0.28307856785421404
hadamard_random_paired,0.01,natural_patch,4,1,segment_too_short,
hadamard_random_paired,0.01,ring,8,2,segment_too_short,
hadamard_random_paired,0.01,stripe,4,1,segment_too_short,
hadamard_raw_ordered,0.001,digit_0,512,7,strict_below_argmin,0.0135068824445762
hadamard_raw_ordered,0.001,digit_1,512,7,strict_below_argmin,0.009669856675073621
hadamard_raw_ordered,0.001,digit_2,512,7,strict_below_argmin,-0.005521793803805964
hadamard_raw_ordered,0.001,digit_3,512,7,strict_below_argmin,0.0024677335462568507
hadamard_raw_ordered,0.001,digit_4,512,7,strict_below_argmin,0.010654873964812739
hadamard_raw_ordered,0.001,letter_A,512,7,strict_below_argmin,0.0075625706890886345
hadamard_raw_ordered,0.001,letter_L,512,7,strict_below_argmin,0.014539613663892796
hadamard_raw_ordered,0.001,natural_patch,512,7,strict_below_argmin,-0.009793956200478621
hadamard_raw_ordered,0.001,ring,512,7,strict_below_argmin,-0.003968019328075207
hadamard_raw_ordered,0.001,stripe,512,7,strict_below_argmin,-0.010468629357444739
hadamard_raw_ordered,0.01,digit_0,512,7,strict_below_argmin,0.014074579136361369
hadamard_raw_ordered,0.01,digit_1,512,7,strict_below_argmin,0.010086759216585946
hadamard_raw_ordered,0.01,digit_2,512,7,strict_below_argmin,-0.005249956038832426
hadamard_raw_ordered,0.01,digit_3,512,7,strict_below_argmin,0.0027760952701302525
hadamard_raw_ordered,0.01,digit_4,512,7,strict_below_argmin,0.011066157320499958
hadamard_raw_ordered,0.01,letter_A,512,7,strict_below_argmin,0.007940808137621038
hadamard_raw_ordered,0.01,letter_L,512,7,strict_below_argmin,0.014974776005101447
hadamard_raw_ordered,0.01,natural_patch,512,7,strict_below_argmin,-0.009499739639484413
hadamard_raw_ordered,0.01,ring,512,7,strict_below_argmin,-0.0036430983576279724
hadamard_raw_ordered,0.01,stripe,512,7,strict_below_argmin,-0.010186458743204865
hadamard_raw_shuffled,0.001,digit_0,512,7,strict_below_argmin,-0.006186067677855776
hadamard_raw_shuffled,0.001,digit_1,256,6,strict_below_argmin,-0.018897564194702704
hadamard_raw_shuffled,0.001,digit_2,512,7,strict_below_argmin,-0.03785452002163873
hadamard_raw_shuffled,0.001,digit_3,512,7,strict_below_argmin,-0.02963823131098836
hadamard_raw_shuffled,0.001,digit_4,512,7,strict_below_argmin,-0.006382547211076236
hadamard_raw_shuffled,0.001,letter_A,512,7,strict_below_argmin,-0.011444869720625351
hadamard_raw_shuffled,0.001,letter_L,256,6,strict_below_argmin,-0.007952387449341637
hadamard_raw_shuffled,0.001,natural_patch,512,7,strict_below_argmin,-0.03330323001213685
hadamard_raw_shuffled,0.001,ring,512,7,strict_below_argmin,-0.036226254305962075
hadamard_raw_shuffled,0.001,stripe,512,7,strict_below_argmin,-0.021644953270414467
hadamard_raw_shuffled,0.01,digit_0,512,7,strict_below_argmin,-0.0055138307047300035
hadamard_raw_shuffled,0.01,digit_1,256,6,strict_below_argmin,-0.018490022510839085
hadamard_raw_shuffled,0.01,digit_2,512,7,strict_below_argmin,-0.03615842952868126
hadamard_raw_shuffled,0.01,digit_3,512,7,strict_below_argmin,-0.028734819295859988
hadamard_raw_shuffled,0.01,digit_4,512,7,strict_below_argmin,-0.006404372916627942
hadamard_raw_shuffled,0.01,letter_A,512,7,strict_below_argmin,-0.010257675762745415
hadamard_raw_shuffled,0.01,letter_L,256,6,strict_below_argmin,-0.007451718883243412
hadamard_raw_shuffled,0.01,natural_patch,512,7,strict_below_argmin,-0.032838138572029725
hadamard_raw_shuffled,0.01,ring,512,7,strict_below_argmin,-0.035442530590352676
hadamard_raw_shuffled,0.01,stripe,512,7,strict_below_argmin,-0.02174043033862423
random_binary,0.001,digit_0,64,4,strict_below_argmin,-0.4188395467810206
random_binary,0.001,digit_1,64,4,strict_below_argmin,-0.40947113149632125
random_binary,0.001,digit_2,64,4,strict_below_argmin,-0.3563615690793398
random_binary,0.001,digit_3,64,4,strict_below_argmin,-0.4195187942988827
random_binary,0.001,digit_4,64,4,strict_below_argmin,-0.4024284489352001
random_binary,0.001,letter_A,64,4,strict_below_argmin,-0.38884569322449364
random_binary,0.001,letter_L,64,4,strict_below_argmin,-0.4452532496689705
random_binary,0.001,natural_patch,32,3,strict_below_argmin,-0.3121826317486241
random_binary,0.001,ring,64,4,strict_below_argmin,-0.3667204134356075
random_binary,0.001,stripe,32,3,strict_below_argmin,-0.3493506727379836
random_binary,0.01,digit_0,32,3,strict_below_argmin,-0.3301727246451952
random_binary,0.01,digit_1,16,3,inclusive_argmin,-0.30193853669877047
random_binary,0.01,digit_2,16,3,inclusive_argmin,-0.19849864917610993
random_binary,0.01,digit_3,16,3,inclusive_argmin,-0.28582624252936234
random_binary,0.01,digit_4,16,3,inclusive_argmin,-0.2976910767092105
random_binary,0.01,letter_A,32,3,strict_below_argmin,-0.27546428065687834
random_binary,0.01,letter_L,32,3,strict_below_argmin,-0.3672166055643977
random_binary,0.01,natural_patch,8,2,segment_too_short,
random_binary,0.01,ring,16,3,inclusive_argmin,-0.2221284025796172
random_binary,0.01,stripe,8,2,segment_too_short,
random_uniform,0.001,digit_0,32,3,strict_below_argmin,-0.4052813214064624
random_uniform,0.001,digit_1,32,3,strict_below_argmin,-0.37098545474246947
random_uniform,0.001,digit_2,32,3,strict_below_argmin,-0.3672307278654571
random_uniform,0.001,digit_3,32,3,strict_below_argmin,-0.39777697106338944
random_uniform,0.001,digit_4,32,3,strict_below_argmin,-0.4310413753138159
random_uniform,0.001,letter_A,32,3,strict_below_argmin,-0.4340781412349384
random_uniform,0.001,letter_L,32,3,strict_below_argmin,-0.4270568059355336
