figure,source,caption
m2_equal_frame_winner_map.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\m2_boundary_audit_highrho\m2_winner_cells.csv,M2 strict equal-frame non-oracle winners. The map covers rho=0.001..10 and sigma_a=0.05..0.50.
m2_all_non_oracle_winner_map.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\m2_boundary_audit_highrho\m2_winner_cells.csv,M2 all-non-oracle winners with reference overhead. The map covers rho=0.001..10 and sigma_a=0.05..0.50.
m2_observed_boundary_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\m2_boundary_audit_highrho\m2_boundary_fit.csv,Observed M2 flip-boundary fits; censored and not-reached crossings are excluded from this compact table.
m4_error_scaling_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_paper_r2_highrho\m4_error_scaling_fit.csv,Residual gain error fits show sigma_delta exponents near 2 with R2 above 0.9999 across bases.
m4_random_frame_scaling_sigma0p05.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_paper_r2_highrho\m4_random_frame_scaling_summary.csv,Random-basis residual gain error decreases as frame count increases at fixed image size and sigma_delta=0.05.
m4_random_frame_scaling_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_paper_r2_highrho\m4_random_frame_scaling_fit.csv,Fixed-size random-frame fits estimate num_frames exponents near -0.71 to -0.72.
m4_top5_energy_concentration.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_paper_r2_highrho\m4_energy_concentration_summary.csv,DCT/Fourier/Hadamard concentrate object energy in top coefficients; random and SRHT spread it.
m4_agc_window_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_paper_r2_highrho\m4_agc_window_law_fit.csv,"AGC best-window fits are weak for random/SRHT, indicating the current window grid is diagnostic rather than final."
m4_agc_targeted_saturation_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_agc_targeted_r1\m4_agc_targeted_saturation.csv,The targeted AGC sweep expands the window grid but many best windows still sit on the lower boundary.
m4_agc_targeted_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_agc_targeted_r1\m4_agc_targeted_fit.csv,Targeted AGC fits improve over the earlier diagnostic but remain too boundary-sensitive for a final law.
m4_agc_boundary_aware_fit_table.png,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\theory_m4_agc_boundary_aware_r1\m4_agc_boundary_aware_fit.csv,"Boundary-aware AGC fits treat lower-grid selections as bounded optima; random bases reach 0.80 interval satisfaction, while Hadamard remains weak."
